username,video_id,video_url,like_count,comment_count,share_count,save_count,description,scraped_at
aliphildan,7648193046672116999,https://www.tiktok.com/@aliphildan/video/7648193046672116999,41.5K,141,1572,1278,"Katanya sih bentar, taunya bentar lagi udahan🤡✨",2026-09-02T11:34:16.757050
aliphildan,7647420152585129234,https://www.tiktok.com/@aliphildan/video/7647420152585129234,3620,70,232,56,"Salam sehat, salam interaksi🤗🌤️✨ #fakescene⚠️ #fakesituation⚠",2026-09-02T11:35:20.473163
aliphildan,7646750028559633682,https://www.tiktok.com/@aliphildan/video/7646750028559633682,1617,63,107,29,"Kak, jujur ga bagus loh",2026-09-02T11:35:55.242042
aliphildan,7646664533297122578,https://www.tiktok.com/@aliphildan/video/7646664533297122578,4617,137,116,67,Tebak umur @Acid 🔮,2026-09-02T11:36:48.703360
aliphildan,7646390545450798354,https://www.tiktok.com/@aliphildan/video/7646390545450798354,3976,107,59,60,@Kementerian Kesehatan RI #SaLiMan,2026-09-02T11:37:36.743755
aliphildan,7646380984123788562,https://www.tiktok.com/@aliphildan/video/7646380984123788562,50.8K,501,24K,1399,"Di tengah kebiasaan scroll yang makin panjang setiap hari, membaca buku sering dianggap hal yang sepele. Padahal dari sisi kesehatan, membaca buku punya banyak manfaat buat otak dan mental kita.Saat membaca, otak dilatih untuk fokus lebih lama, meningkatkan daya ingat, memperluas kemampuan berpikir, dan membantu mengurangi stres. Beberapa penelitian bahkan menunjukkan bahwa kebiasaan membaca secara rutin dapat membantu menjaga fungsi kognitif seiring bertambahnya usia. Berbeda dengan informasi singkat yang lewat begitu saja di media sosial, buku mengajak kita untuk berpikir lebih dalam, memahami suatu hal secara utuh, dan melatih kesabaran.Jadi, kalau kamu ingin investasi yang murah tapi manfaatnya bisa dirasakan seumur hidup, cobalah mulai meluangkan waktu beberapa halaman buku setiap hari. Otak juga butuh olahraga, dan salah satu bentuk olahraganya adalah membaca.",2026-09-02T11:57:34.760507
aliphildan,7645968707826486536,https://www.tiktok.com/@aliphildan/video/7645968707826486536,13K,119,874,431,"Kalau penyakit mata bisa sembuh pakai lintah, dokter mata udah buka peternakan lintah dari dulu🫪 #fakesituation⚠️",2026-09-02T11:59:04.064122
aliphildan,7645955678342860039,https://www.tiktok.com/@aliphildan/video/7645955678342860039,13.7K,319,551,309,"Heran, naro iphone masih ada ampe besok, naro pulpen 5 menit langsung ilang -_-",2026-09-02T12:01:02.255829
aliphildan,7644781672860323090,https://www.tiktok.com/@aliphildan/video/7644781672860323090,82.7K,565,2848,2170,Gue bener2 ga ngerti kenapa filter tiktok sebenci itu ama gueeeeeekk #jff #fakesituation⚠️,2026-09-02T12:01:40.505193
aliphildan,7644510411127082260,https://www.tiktok.com/@aliphildan/video/7644510411127082260,867,17,134,14,Hmm ada yang mau buat steak daging qurban? 🐮🐄,2026-09-02T12:02:20.045526
aliphildan,7644352946485923090,https://www.tiktok.com/@aliphildan/video/7644352946485923090,9741,61,650,284,Selamat idul adha gaiss✨ @Bang ucup @Acid 🔮 @Kang Rizz Kan @nando @Siwoyo🕷️,2026-09-02T12:03:14.791893
aliphildan,7644154748634991892,https://www.tiktok.com/@aliphildan/video/7644154748634991892,449,20,117,15,"POV ""Bukan mimpi! Macan ini lepas dari kandang, ternyata pergi keramas!""#shampoo #sensitif #gatal #sampoanak #rekomendasidokter",2026-09-02T12:04:05.501679
aliphildan,7644041835148561672,https://www.tiktok.com/@aliphildan/video/7644041835148561672,10.6K,103,274,227,"Tebak2an paling sulit di era ini✨😩 #SaLiMan @Ayman Alatas @Ikhsanqthii, MD",2026-09-02T12:04:54.910662
